사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2022-02,1호선,150,서울역,783814,734548,129597,121859
2022-02,1호선,151,시청,377162,384421,54426,53390
2022-02,1호선,152,종각,583790,565882,93238,87907
2022-02,1호선,153,종로3가,335905,308127,211468,197301
2022-02,1호선,154,종로5가,292996,294648,182471,175413
2022-02,1호선,155,동대문,164652,152193,85659,83921
2022-02,1호선,156,신설동,209871,207172,88550,85219
2022-02,1호선,157,제기동,174854,170627,189135,199916
2022-02,1호선,158,청량리(서울시립대입구),251059,251523,186626,187538
2022-02,1호선,159,동묘앞,91790,99031,112019,112969
2022-02,2호선,201,시청,412192,394432,38392,34254
2022-02,2호선,202,을지로입구,703430,713369,65778,61867
2022-02,2호선,203,을지로3가,379849,375387,52923,52611
2022-02,2호선,204,을지로4가,195826,195524,59945,58491
2022-02,2호선,205,동대문역사문화공원(DDP),213649,242627,39533,42166
2022-02,2호선,206,신당,234529,247560,69840,71103
2022-02,2호선,207,상왕십리,254649,249976,49609,50329
2022-02,2호선,208,왕십리(성동구청),309677,262066,37874,31804
2022-02,2호선,209,한양대,133641,143560,9203,9547
2022-02,2호선,210,뚝섬,415687,443859,42478,43048
2022-02,2호선,211,성수,694479,754435,78204,79909
2022-02,2호선,212,건대입구,734981,780572,63752,66890
2022-02,2호선,213,구의(광진구청),437625,435190,74274,76175
2022-02,2호선,214,강변(동서울터미널),603677,562200,77049,74451
2022-02,2호선,215,잠실나루,233459,226910,56678,56686
2022-02,2호선,216,잠실(송파구청),1383281,1351970,126825,120786
2022-02,2호선,217,잠실새내,385896,388476,74190,74516
2022-02,2호선,218,종합운동장,128166,138564,28443,28977
2022-02,2호선,219,삼성(무역센터),981108,981775,81755,75105
2022-02,2호선,220,선릉,943168,835088,155522,137513
2022-02,2호선,221,역삼,906463,1008460,109281,110207
2022-02,2호선,222,강남,1692959,1655284,127857,115259
2022-02,2호선,223,교대(법원.검찰청),576867,646267,103479,113960
2022-02,2호선,224,서초,388575,371307,53124,52362
2022-02,2호선,225,방배,282010,298334,51589,50672
2022-02,2호선,226,사당,667238,743208,124597,119968
2022-02,2호선,227,낙성대(강감찬),515235,507178,75179,76425
2022-02,2호선,228,서울대입구(관악구청),909517,908074,132901,127346
2022-02,2호선,229,봉천,412447,389225,102862,103347
2022-02,2호선,230,신림,1247619,1228864,164080,167183
2022-02,2호선,231,신대방,489856,480346,90794,92514
2022-02,2호선,232,구로디지털단지,1104367,1104118,126133,127571
2022-02,2호선,233,대림(구로구청),438220,450426,86309,90011
2022-02,2호선,234,신도림,900918,902566,137227,130738
2022-02,2호선,235,문래,383185,393170,54837,54348
2022-02,2호선,236,영등포구청,401393,413423,73235,71722
2022-02,2호선,237,당산,339425,390927,41629,45328
2022-02,2호선,238,합정,643930,674433,48341,47883
2022-02,2호선,239,홍대입구,1235312,1265503,68030,65322
2022-02,2호선,240,신촌,647528,659705,85567,82705
2022-02,2호선,241,이대,241860,259271,33402,35225
2022-02,2호선,242,아현,169239,164354,46260,45917
2022-02,2호선,243,충정로(경기대입구),168908,181506,35176,34988
2022-02,2호선,244,용답,46925,48044,13112,12778
2022-02,2호선,245,신답,27802,32149,7026,7575
2022-02,2호선,246,신설동,56722,56840,24946,27431
2022-02,2호선,247,도림천,23248,23873,5551,5964
2022-02,2호선,248,양천구청,111189,117750,32914,33568
2022-02,2호선,249,신정네거리,169344,176508,49928,51200
2022-02,2호선,250,용두(동대문구청),34538,34924,16215,17365
2022-02,3호선,309,지축,77732,74840,17807,17081
2022-02,3호선,310,구파발,360302,347716,82658,79195
2022-02,3호선,311,연신내,621860,590652,185610,180071
2022-02,3호선,312,불광,257347,277809,100520,111086
2022-02,3호선,313,녹번,271476,243614,55327,54649
2022-02,3호선,314,홍제,275085,262360,100476,99130
2022-02,3호선,315,무악재,61929,63213,20560,22678
2022-02,3호선,316,독립문,104328,110283,48163,47674
2022-02,3호선,317,경복궁(정부서울청사),365913,366537,55090,52522
2022-02,3호선,318,안국,358780,372936,54701,56000
2022-02,3호선,319,종로3가,170912,201229,42353,46426
2022-02,3호선,320,을지로3가,169685,173750,36525,34458
2022-02,3호선,321,충무로,23,0,0,0
2022-02,3호선,322,동대입구,144770,153782,23441,25999
2022-02,3호선,323,약수,218409,212369,58557,55551
2022-02,3호선,324,금호,133682,125916,39191,38971
2022-02,3호선,325,옥수,148326,157855,40956,41199
2022-02,3호선,326,압구정,610480,651943,91899,90012
2022-02,3호선,327,신사,638096,661898,54885,52728
2022-02,3호선,328,잠원,78286,78039,21422,20647
2022-02,3호선,329,고속터미널,889779,814965,118915,112220
2022-02,3호선,330,교대(법원.검찰청),234824,152403,44949,28122
2022-02,3호선,331,남부터미널(예술의전당),546543,546858,82558,83103
2022-02,3호선,332,양재(서초구청),673533,737739,106840,106486
2022-02,3호선,333,매봉,208520,201438,42861,39630
2022-02,3호선,334,도곡,91039,95871,18038,16705
2022-02,3호선,335,대치,208524,206074,44810,42839
2022-02,3호선,336,학여울,35212,36849,13096,12685
2022-02,3호선,337,대청,167902,156355,41997,40534
2022-02,3호선,338,일원,160802,155974,44099,44108
2022-02,3호선,339,수서,300214,302013,74130,73728
2022-02,3호선,340,가락시장,135038,131611,50773,49457
2022-02,3호선,341,경찰병원,123076,122492,28513,29813
2022-02,3호선,342,오금,108787,98809,20549,19711
2022-02,4호선,409,당고개,218538,198155,62848,62352
2022-02,4호선,410,상계,325318,303428,83488,82690
2022-02,4호선,411,노원,357127,403417,61797,61811
2022-02,4호선,412,창동,429640,457618,137655,141866
2022-02,4호선,413,쌍문,521701,478454,114226,112697
2022-02,4호선,414,수유(강북구청),614317,615826,137581,138815
2022-02,4호선,415,미아(서울사이버대학),243993,235393,78309,80207
2022-02,4호선,416,미아사거리,476533,462744,127750,126705
2022-02,4호선,417,길음,348319,345067,79439,80562
2022-02,4호선,418,성신여대입구(돈암),376859,367163,61066,59970
2022-02,4호선,419,한성대입구(삼선교),233728,231552,52369,51434
2022-02,4호선,420,혜화,623194,623385,91504,89576
2022-02,4호선,421,동대문,284913,299755,100493,98555
2022-02,4호선,422,동대문역사문화공원(DDP),276250,252355,41140,36394
2022-02,4호선,423,충무로,430509,446938,81417,81373
2022-02,4호선,424,명동,332718,344529,41044,41980
2022-02,4호선,425,회현(남대문시장),359790,382535,113598,113990
2022-02,4호선,426,서울역,190242,305079,26657,30771
2022-02,4호선,427,숙대입구(갈월),234334,230201,37587,35351
2022-02,4호선,428,삼각지,85988,99573,17340,17834
2022-02,4호선,429,신용산,301153,315674,35907,36220
2022-02,4호선,430,이촌(국립중앙박물관),133672,148980,31229,32736
2022-02,4호선,431,동작(현충원),21990,25832,11588,11686
2022-02,4호선,432,총신대입구(이수),300308,330511,103930,109483
2022-02,4호선,433,사당,480457,394284,60445,59787
2022-02,4호선,434,남태령,18671,15409,6310,5889
2022-02,경부선,1001,서울역,148368,44210,7191,1823
2022-02,경부선,1002,남영,161409,171029,25508,26400
2022-02,경부선,1003,용산,702367,689587,81147,79799
2022-02,경부선,1004,노량진,154711,158067,25684,23856
2022-02,경부선,1005,대방,216326,228205,48509,47896
2022-02,경부선,1006,영등포,717209,729207,170931,169769
2022-02,경부선,1007,신도림,73043,66521,18221,19963
2022-02,경부선,1032,신길,158739,132644,30931,28599
2022-02,경부선,1701,구로,329255,337549,69721,67060
2022-02,경부선,1702,가산디지털단지,325004,386973,25314,28494
2022-02,경부선,1703,금천구청,197700,197015,56730,57864
2022-02,경부선,1704,석수,170250,153421,34810,33962
2022-02,경부선,1705,관악,121725,113316,37332,35850
2022-02,경부선,1706,안양,387913,384285,79142,81925
2022-02,경부선,1707,명학,154070,151443,29723,28985
2022-02,경부선,1708,금정,480936,491084,82167,82767
