사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
2022-02,1호선,150,서울역,392,4,6620,4825,8866,28412,28159,66221,44847,143948,36975,90388,36605,47115,44042,40269,48776,46426,50921,45629,44634,40987,54675,43943,65602,44024,96340,51696,140060,56466,67133,37120,48520,25182,54544,24839,27772,13433,7907,5067,21,413,0,0,0,0,0,0
2022-02,1호선,151,시청,31,0,1418,4040,2260,15348,5038,46317,6352,133241,6828,59599,7664,25456,11831,23762,13236,21728,16133,21164,21404,18657,27203,14929,32475,12827,55836,12507,105230,12111,37319,5569,32447,3603,33325,3915,13369,2125,2186,835,3,78,0,0,0,0,0,0
2022-02,1호선,152,종각,67,0,1670,3366,2452,16771,4071,68967,7357,162640,8423,91675,11822,41928,18657,37063,22871,34443,28238,34525,34657,29894,43047,25831,48913,26411,87165,26430,139737,27594,59290,12977,57910,5130,68944,4497,27560,2528,4158,1005,18,112,1,2,0,0,0,0
2022-02,1호선,153,종로3가,116,16,2049,2140,2126,9604,3181,18344,5379,55187,9551,55435,14267,45607,25237,45901,29593,46350,36637,47941,41784,43081,49268,34801,52563,29045,58671,24597,75197,23586,43469,10188,35161,4638,42411,4625,17944,2761,2732,1317,37,264,0,0,0,0,0,0
2022-02,1호선,154,종로5가,14,0,1174,2859,1902,11328,3614,30929,5871,78490,8437,48463,13157,38212,20949,38229,26589,37668,31314,35133,38018,35918,43108,29832,45896,24485,59768,20178,75579,17096,37304,8742,26502,4269,24084,4371,10315,2628,1863,1001,9,230,0,0,0,0,0,0
2022-02,1호선,155,동대문,649,13,9562,1450,6553,4490,9865,8472,14431,17586,12621,16291,12463,15027,13489,16877,16062,17123,17041,16672,19179,16831,19378,15545,19824,14237,19844,13957,18401,14816,12577,14050,10657,9308,10271,9410,5865,6997,1561,5934,18,1028,0,0,0,0,0,0
2022-02,1호선,156,신설동,199,6,6030,1997,6341,8440,12565,16235,20225,45840,13196,27219,11944,17129,13780,15198,15934,15295,17184,15683,17520,14807,19359,14792,24069,14714,31011,17160,44243,20609,16061,14780,10986,9866,10996,11282,5320,7228,1444,3656,14,455,0,0,0,0,0,0
2022-02,1호선,157,제기동,175,2,3632,1395,5899,5826,15161,13650,23023,29448,16033,22251,17682,25265,23362,30300,28425,34616,29919,36105,33568,35211,36923,30158,35110,22819,32243,18922,29490,20427,13058,14273,8428,9158,7106,10447,3672,7044,1062,2927,18,299,0,0,0,0,0,0
2022-02,1호선,158,청량리(서울시립대입구),745,10,7969,3273,10769,15689,26117,11802,34239,25374,22042,21808,20472,26204,26596,31734,29196,31392,31308,35267,33187,37249,36974,34823,41419,30220,37700,29681,32120,35263,17112,23401,13071,14051,10709,16361,4855,10608,1056,4393,29,458,0,0,0,0,0,0
2022-02,1호선,159,동묘앞,105,2,2051,668,2419,3514,4257,5960,7085,12284,5737,12679,6756,14636,10030,19990,14804,23277,19271,24591,23936,24245,26898,19934,26339,13742,20855,9588,15212,7206,6486,5169,4336,3725,3766,4539,2862,3676,598,1713,6,862,0,0,0,0,0,0
